Run #,Distance,Temp (deg F),Humidity (%),Date,Week,Time,Time (Num),Pace,Pace (Num)
1,3,59,86,8/1/2023,1,0:28:52,28.87,0:09:37,9.62
2,5,65,74,8/4/2023,1,0:48:30,48.5,0:09:42,9.7
3,7,70,64,8/7/2023,1,1:13:28,73.47,0:10:30,10.5
4,3,73,67,8/9/2023,2,0:28:30,28.5,0:09:30,9.5
5,5.01,61,87,8/10/2023,2,0:46:57,46.95,0:09:22,9.37
6,3,67,74,8/13/2023,2,0:28:47,28.78,0:09:36,9.6
7,7,71,67,8/14/2023,2,1:12:03,72.05,0:10:18,10.3
8,3.02,74,61,8/16/2023,3,0:32:30,32.5,0:10:46,10.77
9,8,81,52,8/23/2023,4,1:21:39,81.65,0:10:12,10.2
10,6,63,80,8/26/2023,4,0:57:34,57.57,0:09:36,9.6
11,11,72,56,8/28/2023,4,1:48:20,108.33,0:09:51,9.85
12,3,81,40,8/30/2023,5,0:26:46,26.77,0:08:55,8.92
13,6,59,93,9/1/2023,5,0:56:42,56.7,0:09:27,9.45
14,3,64,79,9/4/2023,5,0:25:36,25.6,0:08:32,8.53
15,12.01,66,69,9/5/2023,5,1:52:47,112.78,0:09:23,9.38
16,1,56,94,9/8/2023,6,0:07:51,7.85,0:07:51,7.85
17,1,56,94,9/8/2023,6,0:08:16,8.27,0:08:16,8.27
18,1,56,94,9/8/2023,6,0:08:00,8,0:08:00,8
19,1,56,94,9/8/2023,6,0:07:43,7.72,0:07:43,7.72
20,3,72,56,9/9/2023,6,0:28:27,28.45,0:09:29,9.48
21,4.01,62,80,9/11/2023,6,0:37:22,37.37,0:09:19,9.32
22,8,58,96,9/13/2023,7,1:14:36,74.6,0:09:20,9.33
23,4,60,94,9/15/2023,7,0:36:16,36.27,0:09:04,9.07
24,13.25,63,81,9/18/2023,7,2:07:51,127.85,0:09:39,9.65
25,3,71,51,9/25/2023,8,0:26:12,26.2,0:08:44,8.73
26,10,60,73,9/27/2023,8,1:36:35,96.58,0:09:40,9.67
27,3.95,68,74,9/29/2023,8,0:34:45,34.75,0:08:48,8.8
28,11,61,77,10/2/2023,8,1:48:26,108.43,0:09:51,9.85
29,4,67,59,10/4/2023,9,0:37:25,37.42,0:09:21,9.35
30,6,68,67,10/6/2023,9,0:57:50,57.83,0:09:38,9.63
31,3.02,73,50,10/9/2023,9,0:27:07,27.12,0:08:59,8.98
32,13.16,64,74,10/10/2023,9,2:03:15,123.25,0:09:22,9.37
33,3.01,58,81,10/13/2023,10,0:27:33,27.55,0:09:09,9.15
34,10,70,71,10/16/2023,10,1:37:26,97.43,0:09:45,9.74
35,3,75,53,10/18/2023,11,0:26:08,26.13,0:08:43,8.71
36,1.51,57,55,11/1/2023,13,0:15:28,15.47,0:10:15,10.24
37,2.01,65,49,11/2/2023,13,0:18:40,18.67,0:09:17,9.29
38,6.01,63,84,11/6/2023,13,0:56:21,56.35,0:09:23,9.38
39,9.01,60,53,11/8/2023,14,1:33:31,93.52,0:10:23,10.38
